deputyid,deputyname,partyid,congress_cat,party_cat,female,tier,alternate,educ_level2,age,state2,unit_individual,leadership,leg_experience,leg_exp_cat,leg_exp_dum,exec_experience,exec_exp_cat,exec_exp_dum,immed_govpartycon,amb2nd_govpartycon,ambition_immediate2014,ambition_immediate2014_2,genderimmedambcat2,genderimmedambcat3,gender2ndambcat3,dum1997,dum2000,dum2003,dum2006,postquota,immedmayorwin,immeddiplocwin,immedsenatewin,immedgovwin,immedregwin,secondmayorwin,seconddiplocwin,seconddipfedwin,secondsenatewin,secondgovwin,firstposition,firstposition3,powerleader,leadertype,nonpowerlead,age_cem,female2,include,include2,sample2,cem_weights_cont1,cem_weights_cont2,samplecont1c,samplecont2c,cem_weights_cont1party,cem_weights_cont2party,samplecont1cp,samplecont2cp
26,Arceo Corcuera Alvaro PRD,PRD,1997-2000,PRD,0,1,0,licenciatura,57,Campeche,0,0,1,1,1,2,2,1,0,dep & gov party not congr.,state bureaucracy,state bureaucracy,bur appt,bur appt,exec ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.3483100586925723,0.48653317126223533,1,1,0,0,NA,NA
28,Argáiz Zurita Norma Gabriela PRD,PRD,1997-2000,PRD,1,1,0,licenciatura,55,Tabasco,0,0,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,1,0,0,NA,1,1,NA,NA,1,1,NA,NA
29,Arizmendi Hernández Juan PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,53,Durango,0,0,2,1,1,1,1,1,1,dep & gov party congr.,national party,national party/nat. party leader,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.48567177197978395,0.5130713442401754,1,1,0.41696428571428573,0.38980532786885247,1,1
31,Armenta Beltrán Ricardo PRD,PRD,1997-2000,PRD,0,1,0,tecnico,43,Sinaloa,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,presidente municipal,presidente municipal,mayor ballot access,mayor/gov ballot access,leg ballot access,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,40-59,0,0,0,1,1.5915090374106766,1.4109461966604824,1,1,2.096734693877551,2.2274590163934427,1,1
32,Arrieta Aragón Jesús Ignacio PRI,PRI,1997-2000,PRI,0,0,0,at least some master's studies,43,Chihuahua,0,0,0,0,0,1,1,1,1,dep & gov party congr.,business,non-political position,other,other,appointed exec,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.20556003463823944,0.20647993121860717,1,1,0.12129870129870131,0.07680893159977388,1,1
33,Arroyo Vieyra Francisco Agustín PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,38,Guanajuato,0,0,2,1,1,1,1,1,0,dep & gov party not congr.,diputado local,diputado local,deputy ballot access,deputy/regidor ballot access,leg ballot access,1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,1,NA,NA,ballotaccess-won,won election,0,not a leader,0,21-39,0,0,0,1,0.5224650880388585,0,1,NA,0.4105494505494506,0,1,NA
34,Arvizu Lara Orlando PRI,PRI,1997-2000,PRI,0,0,0,tecnico,51,Hidalgo,0,0,3,2,1,1,1,1,1,dep & gov party congr.,gobernador,gobernador,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.48567177197978395,0.5130713442401754,1,1,0.41696428571428573,0.38980532786885247,1,1
35,Aubry Orozco María del Socorro PRD,PRD,1997-2000,PRD,1,0,0,licenciatura,54,Veracruz,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,presidente municipal,presidente municipal,mayor ballot access,mayor/gov ballot access,bur appt,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,40-59,1,0,0,1,1,1,1,1,1,1,1,1
37,Ayala Almeida Joel PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,51,DF,0,0,1,1,1,0,0,0,0,dep & gov party not congr.,senador,senador,senate ballot access,senate ballot access,leg ballot access,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,1,NA,NA,ballotaccess-won,won election,0,not a leader,0,40-59,0,0,0,1,0.8359441408621736,0.7054730983302412,1,1,0.3638961038961039,0,1,NA
39,Bagdadi Estrella Abraham PRD,PRD,1997-2000,PRD,0,1,0,tecnico,34,Campeche,0,0,1,1,1,1,1,1,0,dep & gov party not congr.,senador,senador,senate ballot access,senate ballot access,leg ballot access,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA,1,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,21-39,0,0,0,1,0.3918488160291439,0,1,NA,0,0,NA,NA
40,Balderrama Fernández Adalberto Antonio PAN,PAN,1997-2000,PAN,0,0,0,licenciatura,58,Chihuahua,0,0,1,1,1,0,0,0,0,dep & gov party not congr.,federal bureaucracy,federal bureaucracy,bur appt,bur appt,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.35321583416711566,0.1763682745825603,1,1,0,0,NA,NA
41,Baltazar Segura María de la Soledad PAN,PAN,1997-2000,PAN,1,1,0,licenciatura,48,Oaxaca,0,0,1,1,1,0,0,0,0,dep & gov party not congr.,federal bureaucracy,federal bureaucracy,bur appt,bur appt,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,1,0,0,1,1,1,1,1,1,1,1,1
42,Banda Gómez Rosalinda PRI,PRI,1997-2000,PRI,1,0,0,licenciatura,48,Tamaulipas,0,0,1,1,1,0,0,0,1,dep & gov party congr.,state party,state party/state party leader,other,other,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,1,0,0,1,1,1,1,1,1,1,1,1
43,Barajas Olea Roselia Margarita PRD,PRD,1997-2000,PRD,1,1,0,at least some master's studies,59,Veracruz,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,senador,senador,other,other,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,1,0,0,1,1,1,1,1,1,1,1,1
46,Bárcena Trejo José Luis PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,48,Mexico,0,0,1,1,1,0,0,0,1,dep & gov party congr.,diputado local,diputado local,deputy ballot access,deputy/regidor ballot access,bur appt,1,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,40-59,0,0,0,1,0.35321583416711566,0.9406307977736549,1,1,0.47897435897435897,1.1137295081967213,1,1
47,Barnes García Guillermo PRI,PRI,1997-2000,PRI,0,1,0,at least some master's studies,45,DF,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,federal bureaucracy,federal bureaucracy,bur appt,bur appt,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,1.5915090374106766,1.6033479507505484,1,1,0.7116190476190476,0.7424863387978142,1,1
49,Basáñez Trevethan Jaime Enrique PRI,PRI,1997-2000,PRI,0,0,0,at least some master's studies,40,Veracruz,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,NA,0.20556003463823944,0.20647993121860717,NA,NA,0.12129870129870131,0.07680893159977388,NA,NA
50,Bátiz Vázquez Bernardo PRD,PRD,1997-2000,PRD,0,1,0,at least some master's studies,61,DF,0,0,3,2,1,1,1,1,1,dep & gov party congr.,state cabinet,state cabinet,cabinet,cabinet/party leader,exec ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,appointed executive,lost/appt. exec.,0,not a leader,0,60-95,0,0,0,1,0.8956544366380431,0,1,NA,0,0,NA,NA
51,Batres Guadarrama Lenia PRD,PRD,1997-2000,PRD,1,1,0,licenciatura,28,DF,0,0,0,0,0,0,0,0,1,dep & gov party congr.,municipal bureaucracy,municipal bureaucracy,other,other,exec ballot access,1,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,21-39,1,0,0,1,1,1,1,1,1,1,1,1
52,Bautista Villegas Leopoldo Enrique PRD,PRD,1997-2000,PRD,0,0,0,at least some master's studies,48,Michoacan,0,1,0,0,0,0,0,0,1,dep & gov party congr.,state cabinet,state cabinet,cabinet,cabinet/party leader,appointed exec,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,appointed executive,lost/appt. exec.,0,other chair,1,40-59,0,0,0,1,0.19592440801457195,0,1,NA,0.5337142857142857,0,1,NA
53,Bazán Flores Omar PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,21,Chihuahua,0,0,0,0,0,1,1,1,1,dep & gov party congr.,national party,national party/nat. party leader,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,21-39,0,0,0,1,0.26123254401942925,0,1,NA,0,0,NA,NA
60,Bernal Martínez Eduardo Guadalupe PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,42,Mexico,0,1,1,1,1,1,1,1,1,dep & gov party congr.,state bureaucracy,state bureaucracy,bur appt,bur appt,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,1,jcp/mdpres,0,40-59,0,0,0,1,0.6269581056466302,0,1,NA,0.6671428571428571,0,1,NA
62,Bonilla Robles José Eulogio PRI,PRI,1997-2000,PRI,0,0,0,estudios de licenciatura,51,Zacatecas,0,0,2,1,1,2,2,1,0,dep & gov party not congr.,senador,senador,senate ballot access,senate ballot access,exec ballot access,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,0,ballotaccess-won,won election,0,not a leader,0,40-59,0,0,0,1,0.48567177197978395,0.43413729128014844,1,1,0.41696428571428573,0.4049925484351714,1,1
63,Brugada Molina Clara Marina PRD,PRD,1997-2000,PRD,1,0,0,licenciatura,34,DF,0,0,0,0,0,0,0,0,1,dep & gov party congr.,diputado local,diputado local,deputy ballot access,deputy/regidor ballot access,other,1,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,ballotaccess-won,won election,0,not a leader,0,21-39,1,0,0,1,1,1,1,1,1,1,1,1
64,Bucio Mújica Marcos Augusto PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,42,DF,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,national party,national party/nat. party leader,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,1.5915090374106766,1.6033479507505484,1,1,0.7116190476190476,0.7424863387978142,1,1
65,Bueno Torio Juan PAN,PAN,1997-2000,PAN,0,0,0,licenciatura,44,Veracruz,0,1,0,0,0,0,0,0,0,dep & gov party not congr.,federal bureaucracy,federal bureaucracy,bur appt,bur appt,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,other chair,1,40-59,0,0,0,1,0.19592440801457195,0.2565356721200877,1,1,0,0,NA,NA
66,Buganza Salmerón Gerardo PAN,PAN,1997-2000,PAN,0,1,0,at least some master's studies,41,Veracruz,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,senador,senador,senate ballot access,senate ballot access,exec ballot access,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,0,ballotaccess-won,won election,0,not a leader,0,40-59,0,0,0,1,1.5915090374106766,0.4031274847601378,1,1,2.168214285714286,1.1137295081967213,1,1
67,Caamal Hernández Artemio PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,51,Quintana Roo,0,0,3,2,1,2,2,1,1,dep & gov party congr.,ngo,activist/ngo/social movement,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.48567177197978395,0.5130713442401754,1,1,0.41696428571428573,0.38980532786885247,1,1
68,Cabello Sánchez Antonio PRD,PRD,1997-2000,PRD,0,0,0,licenciatura,50,Mexico,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,diputado local,diputado local,deputy ballot access,deputy/regidor ballot access,exec ballot access,1,0,0,0,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,ballotaccess-won,won election,0,not a leader,0,40-59,0,0,0,1,0.6170847496521952,0.8062549695202756,1,1,0.518888888888889,0.5568647540983607,1,1
70,Calderón González Ma. del Refugio PRI,PRI,1997-2000,PRI,1,0,0,licenciatura,49,Zacatecas,0,0,3,2,1,0,0,0,0,dep & gov party not congr.,senador,senador,senate ballot access,senate ballot access,other,1,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,40-59,1,0,0,1,1,1,1,1,1,1,1,1
71,Calleja Castañón Juan Moisés PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,43,DF,0,1,0,0,0,0,0,0,0,dep & gov party not congr.,union,union/union leader,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,1,jcp/mdpres,0,40-59,0,0,0,1,1.1399238284484186,0.7054730983302412,1,1,0,0,NA,NA
72,Camacho Alcázar Carlos Froylán Guadalupe PAN,PAN,1997-2000,PAN,0,0,0,licenciatura,43,Chihuahua,0,0,0,0,0,1,1,1,0,dep & gov party not congr.,municipal bureaucracy,municipal bureaucracy,other,other,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.20556003463823944,0.20647993121860717,1,1,0.26685714285714285,0.31820843091334894,1,1
73,Camarillo Ochoa Jesús Eleazar PRI,PRI,1997-2000,PRI,0,0,0,secundaria,74,Puebla,0,0,4,2,1,0,0,0,1,dep & gov party congr.,died,retired/died/banned from office,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,60-95,0,0,0,NA,2.089860352155434,1.8812615955473098,NA,NA,5.337142857142857,4.454918032786885,NA,NA
75,Canavati Tafich Jesús Ricardo PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,54,Nuevo Leon,0,1,3,2,1,1,1,1,0,dep & gov party congr.,senador,senador,senate ballot access,senate ballot access,exec ballot access,1,0,0,0,0,NA,NA,1,NA,NA,1,NA,NA,NA,NA,ballotaccess-won,won election,0,other chair,1,40-59,0,0,0,1,0.28498095711210464,0,1,NA,0.6671428571428571,0,1,NA
76,Canedo Vargas Jorge PRI,PRI,1997-2000,PRI,0,1,0,licenciatura,49,Michoacan,0,0,3,2,1,1,1,1,1,dep & gov party not congr.,social movement leader,activist/ngo/social movement,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.3483100586925723,0.48653317126223533,1,1,0.555952380952381,0.6551350048216008,1,1
78,Cantú Nájera Isael Petronio PRD,PRD,1997-2000,PRD,0,1,0,estudios de licenciatura,43,Veracruz,0,0,1,1,1,1,1,1,0,dep & gov party not congr.,journalist,non-political position,other,other,other,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,1,0.3483100586925723,0.48653317126223533,1,1,0,0,NA,NA
79,Cantú Rodríguez Felipe de Jesús PAN,PAN,1997-2000,PAN,0,1,0,licenciatura,31,Aguascalientes,0,0,1,1,1,1,1,1,1,dep & gov party congr.,presidente municipal,presidente municipal,mayor ballot access,mayor/gov ballot access,bur appt,1,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,ballotaccess-won,won election,0,not a leader,0,21-39,0,0,0,1,0.3918488160291439,0.9406307977736549,1,1,0.8895238095238095,1.1137295081967213,1,1
80,Capuchino Herrera Elba Margarita PRD,PRD,1997-2000,PRD,1,1,0,tecnico,42,Quintana Roo,0,0,0,0,0,0,0,0,0,dep & gov party not congr.,presidente municipal,presidente municipal,mayor ballot access,mayor/gov ballot access,other,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,ballotaccess-lost,lost/appt. exec.,0,not a leader,0,40-59,1,0,0,1,1,1,1,1,1,1,1,1
81,Cárdenas Batel Lázaro PRD,PRD,1997-2000,PRD,0,0,0,estudios de licenciatura,33,Michoacan,0,0,0,0,0,0,0,0,0,dep & gov party congr.,senador,senador,senate ballot access,senate ballot access,exec ballot access,1,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1,ballotaccess-won,won election,0,not a leader,0,21-39,0,0,0,1,0.4770333412528709,0.3892265370097882,1,1,0.8895238095238095,1.4849726775956285,1,1
82,Cárdenas Fonseca Manuel PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,39,Sinaloa,0,0,0,0,0,0,0,0,1,dep & gov party congr.,national party,national party/nat. party leader,other,other,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,21-39,0,0,0,1,0.4770333412528709,0.5521093813019279,1,1,1.6011428571428572,1.7819672131147541,1,1
83,Cárdenas Sandoval Lino PRI,PRI,1997-2000,PRI,0,0,0,licenciatura,47,Mexico,0,0,0,0,0,1,1,1,1,dep & gov party congr.,retired,retired/died/banned from office,NA,NA,NA,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,40-59,0,0,0,NA,0.20556003463823944,0.20647993121860717,NA,NA,0.12129870129870131,0.07680893159977388,NA,NA
84,Carranza Aguayo Marta Laura PRI,PRI,1997-2000,PRI,1,0,0,licenciatura,35,Coahuila,0,0,0,0,0,0,0,0,1,dep & gov party congr.,federal bureaucracy,federal bureaucracy,bur appt,bur appt,bur appt,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nonelected office,nonelected office,0,not a leader,0,21-39,1,0,0,1,1,1,1,1,1,1,1,1
